Job Title,Job Description,Company,Location,Experience,Education,Salary,skills,Category
Technical Product Manager,"We are looking for a Technical Product Manager to join our team. The ideal candidate will have experience in Agile and A/B Testing. This role requires 5-8 years of experience and PhD. The position is based in Seattle, WA.",Gill Group,"Chicago, IL",5-8 years,PhD,"$130,000 - $180,000","Market Research, Scrum, A/B Testing, Agile",Product Management
AI Research Scientist,We are looking for a AI Research Scientist to join our team. The ideal candidate will have experience in Data Analysis and Deep Learning. This role requires 5-8 years of experience and PhD. The position is based in Remote.,"Burns, Dominguez and Griffin","Austin, TX",5-8 years,Bachelor's Degree or equivalent experience,"$130,000 - $180,000","Data Analysis, TensorFlow, PyTorch, Python, Deep Learning, Spark",Data Science
Graphic Designer,"We are looking for a Graphic Designer to join our team. The ideal candidate will have experience in Adobe XD and Adobe XD. This role requires 2-5 years of experience and Master's Degree. The position is based in Austin, TX.",Gilbert-Nunez,Remote,0-2 years,PhD,"$60,000 - $90,000","Interaction Design, Adobe XD, Figma",Design
Product Designer,We are looking for a Product Designer to join our team. The ideal candidate will have experience in Adobe XD and Adobe XD. This role requires 8+ years of experience and PhD. The position is based in Hybrid.,"Anderson, Stewart and Riggs","Austin, TX",2-5 years,Master's Degree or equivalent experience,"$90,000 - $130,000","Prototyping, User Research, Figma",Design
Product Manager,We are looking for a Product Manager to join our team. The ideal candidate will have experience in User Stories and Product Strategy. This role requires 0-2 years of experience and PhD. The position is based in Hybrid.,"Schmitt, Knight and Alvarez","Chicago, IL",0-2 years,Master's Degree or equivalent experience,"$60,000 - $90,000","User Stories, Scrum, Stakeholder Management",Product Management
Product Owner,We are looking for a Product Owner to join our team. The ideal candidate will have experience in Market Research and Scrum. This role requires 2-5 years of experience and Master's Degree or equivalent experience. The position is based in Remote.,Carr-Collins,"Seattle, WA",5-8 years,PhD,"$130,000 - $180,000","Product Roadmap, User Stories, Scrum, Market Research, A/B Testing",Product Management
Technical Product Manager,We are looking for a Technical Product Manager to join our team. The ideal candidate will have experience in Agile and User Stories. This role requires 0-2 years of experience and PhD. The position is based in Hybrid.,Perez-Jones,"New York, NY",2-5 years,PhD,"$90,000 - $130,000","Product Metrics, Product Roadmap, Data Analysis, User Stories, A/B Testing, Stakeholder Management",Product Management
UX Designer,"We are looking for a UX Designer to join our team. The ideal candidate will have experience in Interaction Design and Adobe XD. This role requires 2-5 years of experience and Master's Degree. The position is based in Chicago, IL.","Abbott, Clark and Jenkins","Chicago, IL",0-2 years,Bachelor's Degree or equivalent experience,"$60,000 - $90,000","Prototyping, Interaction Design, Design Systems, Figma, Wireframing, UI/UX Design",Design
Digital Marketing Manager,"We are looking for a Digital Marketing Manager to join our team. The ideal candidate will have experience in SEO and Content Marketing. This role requires 8+ years of experience and Master's Degree or equivalent experience. The position is based in Seattle, WA.",Ortiz-Kane,"New York, NY",2-5 years,Bachelor's Degree,"$90,000 - $130,000","Campaign Management, Marketing Automation, SEO, Content Marketing",Marketing
Backend Developer,"We are looking for a Backend Developer to join our team. The ideal candidate will have experience in Kubernetes and Java. This role requires 2-5 years of experience and PhD. The position is based in San Francisco, CA.","Jones, Roth and Smith","New York, NY",0-2 years,Bachelor's Degree,"$60,000 - $90,000","CI/CD, Java, React",Software Development
